fecha,ACO,AJM,ATI,CAM,CCA,CHO,CUA,FAC,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,PED,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL,NEZ
2015-01-17 00:00:00,0.9,1.4,1.8,2.7,1.6,1.5941257367387034,1.5,2.6,2.0,0.367671507260891,2.7,1.2699173553719014,1.6079051383399225,2.9,2.3,1.132679355783309,0.9,2.0,0.6719561815336473,2.1,1.2,1.9,2.2,1.4,1.7,1.9,2.8,2.8
2015-01-18 00:00:00,0.5,0.9,0.8,0.9,0.9,1.5941257367387034,1.0,0.9,0.9,0.367671507260891,1.6,1.2699173553719014,1.6079051383399225,1.5,0.9,1.132679355783309,0.6,1.2,0.6719561815336473,2.1,1.1,1.1,0.7,1.5,1.2,0.8,1.7,1.2
2015-01-19 00:00:00,0.9,1.8,2.6,3.4,2.1,1.5941257367387034,2.6,3.5,2.4,0.367671507260891,3.0,1.2699173553719014,1.6079051383399225,2.6,2.2,1.132679355783309,1.5,1.9,0.6719561815336473,1.9,1.8,2.6,2.9,1.7,2.4,1.6,4.2,2.1
2015-01-20 00:00:00,1.0,1.9,3.2,3.4,3.3,1.5941257367387034,2.3,3.7,3.6,0.367671507260891,4.5,1.2699173553719014,1.6079051383399225,2.6,2.7,1.132679355783309,1.8,2.4,0.6719561815336473,2.7,1.4,3.3,2.8,1.6,3.4,2.8,4.1,4.1
2015-01-21 00:00:00,1.1,1.4,3.4,3.4,1.9,1.5941257367387034,1.5,3.7,2.1,0.367671507260891,3.1,1.2699173553719014,1.6079051383399225,3.7,2.5,1.132679355783309,1.4,2.7,0.6719561815336473,4.0,1.3,3.5,2.9,1.2,4.2,3.3,4.9,2.7
2015-01-22 00:00:00,0.8,1.2,3.6,3.9,2.0,1.5941257367387034,0.6,3.0,2.2,0.367671507260891,3.1,1.2699173553719014,1.6079051383399225,3.5,2.0,1.132679355783309,1.3,3.8,0.6719561815336473,2.5,1.001658536585367,3.1,3.0,0.9,2.4,2.5,4.4,2.6
2015-01-23 00:00:00,1.1,1.5,2.4,3.4,2.2,1.5941257367387034,1.3,3.4,2.2,0.367671507260891,2.8,1.2699173553719014,1.6079051383399225,3.1,1.8,1.132679355783309,1.3,4.8,0.6719561815336473,3.4,1.3,3.0,3.3,1.8,2.5,2.8,7.8,3.9
2015-01-24 00:00:00,0.9,0.8,1.6,2.2,1.4,1.5941257367387034,1.6,1.8,1.7,0.367671507260891,2.6,1.2699173553719014,1.6079051383399225,2.0,1.5,1.132679355783309,0.7,1.9,0.6719561815336473,1.4,1.1,2.2,1.9,1.2,1.9,1.5,2.5,1.9
2015-01-25 00:00:00,0.9,1.2,1.6,1.6,1.0,1.5941257367387034,1.0,1.6,1.6,0.367671507260891,2.4,1.2699173553719014,1.6079051383399225,1.9,1.7,1.132679355783309,0.7,1.5,0.6719561815336473,1.6,1.4,1.8,1.5,1.1,2.2,1.2,2.8,2.0
2015-01-26 00:00:00,0.6,0.9,2.1,1.8,1.6,1.5941257367387034,0.9,2.8,1.3,0.367671507260891,2.1,1.2699173553719014,1.6079051383399225,1.9,1.2,1.132679355783309,1.1,2.6,0.6719561815336473,1.8,0.9,2.0,1.2,1.6,2.0,1.5,2.9,1.8
2015-01-27 00:00:00,0.8,1.7,3.4,3.7,2.6,1.5941257367387034,3.2,3.4,2.7,0.367671507260891,2.7,1.2699173553719014,1.6079051383399225,2.9,2.9,1.132679355783309,1.5,3.4,0.6719561815336473,2.2,1.1,3.3,2.2,2.1,2.2,1.1,3.9,1.6
2015-01-28 00:00:00,0.8,1.2,2.9,2.3,2.2,1.5941257367387034,1.7,3.3,2.2,0.367671507260891,3.1,1.2699173553719014,1.6079051383399225,2.7,2.1,1.132679355783309,1.3,2.8,0.6719561815336473,2.6,1.5,2.9,1.9,1.0335726495726485,2.6,2.2,5.3,2.2
2015-01-29 00:00:00,0.8,1.3,3.3,2.7,2.3,1.5941257367387034,1.8,3.7,2.9,0.367671507260891,3.0,1.2699173553719014,1.6079051383399225,3.1,2.7,1.132679355783309,1.1,2.5,0.6719561815336473,2.1,2.5,2.7,2.3,1.0335726495726485,2.3,1.5,3.4,1.6
2015-01-30 00:00:00,0.6,1.6,1.123250122369064,1.4,1.8,1.5941257367387034,1.1,2.1,1.7,0.367671507260891,1.9,1.2699173553719014,1.6079051383399225,1.9,1.4,1.132679355783309,1.2,1.8,0.6719561815336473,1.7,1.3,1.6,1.1,1.0335726495726485,1.5,0.7,2.7,1.1
2015-01-31 00:00:00,0.7,1.0,1.6,1.9,1.7,1.5941257367387034,1.3,2.4,1.9,0.367671507260891,2.3,1.2699173553719014,1.6079051383399225,1.8,1.8,1.132679355783309,0.8,1.8,0.6719561815336473,1.6,1.1,2.0,1.7,1.0335726495726485,2.0,1.3,3.0,2.4
2015-02-01 00:00:00,0.8,0.6,1.3,1.9,1.1,1.5941257367387034,0.4,2.1,1.0,0.367671507260891,2.0,1.2699173553719014,1.6079051383399225,2.6,1.5,1.132679355783309,0.9,1.8,0.6719561815336473,1.9,0.7,2.1,1.6,1.0335726495726485,1.1,1.3,2.6,1.2
2015-02-02 00:00:00,0.6,1.0,1.1,1.5,1.2,1.5941257367387034,1.1,1.1,1.4,0.367671507260891,1.8,1.2699173553719014,1.6079051383399225,2.1,1.8,1.132679355783309,0.9,2.2,0.6719561815336473,1.8,0.7,1.6,1.1,1.0335726495726485,1.8,1.1,2.6,2.5
2015-02-03 00:00:00,0.8,1.1,1.1,1.6,1.6,1.5941257367387034,0.6,2.1,1.2,0.367671507260891,1.7,1.2699173553719014,1.6079051383399225,1.7,1.3,1.132679355783309,1.2,1.2,0.6719561815336473,1.1,0.2,1.7,1.1,1.0335726495726485,1.0,1.2,2.0,1.2
2015-02-04 00:00:00,1.0,1.2,3.1,3.5,2.3,1.5941257367387034,1.3,4.3,2.7,0.367671507260891,4.2,1.2699173553719014,1.6079051383399225,4.7,2.4,1.132679355783309,0.9,3.0,0.6719561815336473,2.6,1.0,3.6,3.8,1.0335726495726485,3.1,2.0,5.0,4.1
2015-02-05 00:00:00,0.9,0.9,1.2,1.8,1.4,1.5941257367387034,1.8,3.1,1.7,0.367671507260891,2.7,1.2699173553719014,1.6079051383399225,2.9,1.4,1.132679355783309,1.2,2.1,0.6719561815336473,3.0,2.3,2.1,1.8,1.0335726495726485,1.8,1.8,3.0,1.5
2015-02-06 00:00:00,0.8,1.5,2.7,1.8,1.8,1.5941257367387034,1.5,2.7,2.0,0.367671507260891,1.9,1.2699173553719014,1.6079051383399225,2.2,1.9,1.132679355783309,1.3,1.7,0.6719561815336473,1.4,2.2,2.1,1.9,2.1,1.4,1.2,3.1,1.4
2015-02-07 00:00:00,0.8,1.2,1.5,2.2,1.4,1.5941257367387034,1.4,2.1,1.6,0.367671507260891,3.2,1.2699173553719014,1.6079051383399225,2.0,2.1,1.132679355783309,0.9,2.1,0.6719561815336473,2.1,2.0,2.2,2.1,2.0,2.3,2.3,4.5,1.6
2015-02-08 00:00:00,1.0,1.0,1.9,2.2,1.8,1.5941257367387034,0.8,1.8,2.0,0.367671507260891,3.8,1.2699173553719014,1.6079051383399225,2.8,2.2,1.132679355783309,1.0,3.0,0.6719561815336473,2.3,1.2,1.5,2.5,1.7,2.9,1.4,3.3,2.2
2015-02-09 00:00:00,0.8,0.5,2.1,3.1,1.8,1.5941257367387034,0.8,3.5,2.7,0.367671507260891,3.5,1.2699173553719014,1.6079051383399225,4.0,3.3,1.132679355783309,2.0,4.0,0.6719561815336473,4.6,2.4,2.6,2.3,2.6,2.5,1.8,4.5,3.0
2015-02-10 00:00:00,0.8,0.8,3.0,2.6,2.1,1.5941257367387034,2.3,3.6,1.9,0.367671507260891,2.5,1.2699173553719014,1.6079051383399225,2.8,1.6,1.132679355783309,1.0,2.1,0.6719561815336473,2.4,2.6,2.3,2.1,2.4,1.8,2.1,3.4,2.1
2015-02-11 00:00:00,0.715361484325015,1.5,2.5,3.3,2.8,1.5941257367387034,1.2,3.3,3.0,0.367671507260891,3.6,1.2699173553719014,1.6079051383399225,3.3,2.4,1.132679355783309,1.5,2.0,0.6719561815336473,2.9,2.2,3.7,2.7,1.7,2.5,1.5,3.4,3.8
2015-02-12 00:00:00,0.715361484325015,1.0,1.3,1.2,1.0,1.5941257367387034,0.8,1.2,0.9,0.367671507260891,1.7,1.2699173553719014,1.6079051383399225,1.8,0.8,1.132679355783309,0.8,1.2,0.6719561815336473,1.1,0.6,1.3,2.3,1.0,1.0,0.9,1.7,1.6
2015-02-13 00:00:00,0.715361484325015,1.6,1.5,1.3,1.8,1.5941257367387034,1.7,1.3,1.3,0.367671507260891,2.0,1.2699173553719014,1.6079051383399225,2.1,1.5,1.132679355783309,1.4,2.1,0.6719561815336473,1.7,0.9,1.4,1.4,1.4,1.4,0.9,2.2,1.9
2015-02-14 00:00:00,0.715361484325015,1.3,1.1,1.4553798375537492,1.5,1.5941257367387034,1.6,1.2,1.4,0.367671507260891,2.1,1.2699173553719014,1.6079051383399225,2.2,1.6,1.132679355783309,1.2,1.7,0.6719561815336473,1.6,1.4,1.3,1.4,2.3,2.0,1.1,2.7,2.1
2015-02-15 00:00:00,0.8,1.8,1.8,1.4553798375537492,2.0,1.5941257367387034,1.4,2.2,2.0,0.367671507260891,2.5,1.2699173553719014,1.6079051383399225,2.1,1.7,1.132679355783309,1.3,1.7,0.6719561815336473,2.4,1.4,2.0,1.6,1.6,1.9,1.6,2.5,1.8
2015-02-16 00:00:00,1.0,0.8,2.3,1.4553798375537492,2.1,1.5941257367387034,0.6,3.5,2.6,0.367671507260891,3.5,1.2699173553719014,1.6079051383399225,3.4,1.7,1.132679355783309,0.8,3.0,0.6719561815336473,4.6,2.1,2.5,1.5,1.6,3.4,2.0,4.1,2.7
2015-02-17 00:00:00,0.8,1.0,1.9,1.6,1.9,1.5941257367387034,1.2,2.6,1.6,0.367671507260891,2.3,1.2699173553719014,1.6079051383399225,2.5,1.6,1.132679355783309,1.2,1.8,0.6719561815336473,1.7,1.2,2.1,1.5,1.1,1.7,1.3,2.1,2.3
2015-02-18 00:00:00,0.9,1.1,2.6,2.7,1.6,1.5941257367387034,1.8,3.8,2.2,0.367671507260891,2.7,1.2699173553719014,1.6079051383399225,3.9,2.1,1.132679355783309,1.3,3.5,0.6719561815336473,2.9,1.9,3.1,2.3,1.5,3.5,1.6,4.7,2.1
2015-02-19 00:00:00,1.0,1.5,1.9,2.1,2.0,1.5941257367387034,1.6,2.9,2.7,0.367671507260891,2.1,1.2699173553719014,1.6079051383399225,2.6,1.6,1.132679355783309,1.6,1.8,0.6719561815336473,2.0,2.1,2.0,1.9,1.6,1.6,1.5,3.1,1.2
2015-02-20 00:00:00,0.9,1.3,3.0,3.3,2.9,1.5941257367387034,1.5,3.4,3.2,0.367671507260891,3.4,1.2699173553719014,1.6079051383399225,2.4,2.2,1.132679355783309,1.4,2.7,0.6719561815336473,2.4,1.6,3.9,2.6,1.3,2.9,1.8,4.9,1.7
2015-02-21 00:00:00,0.8,0.7548387096774212,2.2,2.8,1.8,1.5941257367387034,0.9,2.1,1.3,0.367671507260891,1.7,1.2699173553719014,1.6079051383399225,2.2,1.5,1.132679355783309,1.0,2.6,0.6719561815336473,2.7,1.1,2.2,1.9,0.9,1.8,1.5,4.8,2.9
2015-02-22 00:00:00,0.7,0.7548387096774212,1.3,1.8,1.3,1.5941257367387034,1.3,1.7,1.8,0.367671507260891,2.0,1.2699173553719014,1.6079051383399225,2.7,1.6,1.132679355783309,0.9,1.4,0.6719561815336473,2.2,0.8,1.5,1.9,1.0,1.6,1.4,3.4,2.4
